Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
13,2026-08-09,"Ahsoka Tano","Obi-Wan Kenobi","Finn","Han Solo","Mary","Rey Skywalker","Leia Organa","Padme Amidala","Luke Skywalker"
14,2026-08-16,"Leia Organa","Obi-Wan Kenobi","Rey Skywalker","Luke Skywalker","Padme Amidala","Mary","Ahsoka Tano","Han Solo","Finn"
15,2026-08-23,"Mary","Ahsoka Tano","Leia Organa","Padme Amidala","Luke Skywalker","Rey Skywalker","Obi-Wan Kenobi","Finn","Han Solo"
16,2026-08-30,"Obi-Wan Kenobi","Leia Organa","Ahsoka Tano","Rey Skywalker","Finn","Luke Skywalker","Mary","Han Solo","Padme Amidala"
17,2026-09-06,"Rey Skywalker","Ahsoka Tano","Obi-Wan Kenobi","Leia Organa","Han Solo","Mary","Luke Skywalker","Padme Amidala","Finn"
18,2026-09-13,"Luke Skywalker","Leia Organa","Ahsoka Tano","Obi-Wan Kenobi","Padme Amidala","Mary","Rey Skywalker","Finn","Han Solo"
19,2026-09-20,"Ahsoka Tano","Finn","Leia Organa","Mary","Obi-Wan Kenobi","Rey Skywalker","Han Solo","Padme Amidala","Luke Skywalker"
20,2026-09-27,"Leia Organa","Han Solo","Obi-Wan Kenobi","Ahsoka Tano","Mary","Luke Skywalker","Finn","Padme Amidala","Rey Skywalker"
21,2026-10-04,"Obi-Wan Kenobi","Ahsoka Tano","Luke Skywalker","Finn","Han Solo","Rey Skywalker","Padme Amidala","Mary","Leia Organa"
22,2026-10-11,"Han Solo","Padme Amidala","Mary","Luke Skywalker","Rey Skywalker","Finn","Leia Organa","Obi-Wan Kenobi","Ahsoka Tano"
23,2026-10-18,"Finn","Obi-Wan Kenobi","Padme Amidala","Rey Skywalker","Leia Organa","Han Solo","Ahsoka Tano","Luke Skywalker","Mary"
24,2026-10-25,"Padme Amidala","Leia Organa","Rey Skywalker","Han Solo","Ahsoka Tano","Mary","Obi-Wan Kenobi","Finn","Luke Skywalker"
25,2026-11-01,"Rey Skywalker","Finn","Ahsoka Tano","Leia Organa","Luke Skywalker","Padme Amidala","Mary","Han Solo","Obi-Wan Kenobi"
26,2026-11-08,"Mary","Han Solo","Leia Organa","Padme Amidala","Obi-Wan Kenobi","Rey Skywalker","Luke Skywalker","Ahsoka Tano","Finn"
27,2026-11-15,"Luke Skywalker","Ahsoka Tano","Obi-Wan Kenobi","Mary","Leia Organa","Finn","Rey Skywalker","Han Solo","Padme Amidala"
28,2026-11-22,"Ahsoka Tano","Padme Amidala","Finn","Obi-Wan Kenobi","Mary","Luke Skywalker","Han Solo","Leia Organa","Rey Skywalker"
29,2026-11-29,"Leia Organa","Obi-Wan Kenobi","Luke Skywalker","Ahsoka Tano","Padme Amidala","Han Solo","Finn","Rey Skywalker","Mary"
30,2026-12-06,"Obi-Wan Kenobi","Leia Organa","Han Solo","Finn","Rey Skywalker","Mary","Padme Amidala","Luke Skywalker","Ahsoka Tano"
31,2026-12-13,"Han Solo","Mary","Rey Skywalker","Luke Skywalker","Finn","Padme Amidala","Leia Organa","Ahsoka Tano","Obi-Wan Kenobi"
32,2026-12-20,"Finn","Luke Skywalker","Mary","Han Solo","Obi-Wan Kenobi","Rey Skywalker","Ahsoka Tano","Padme Amidala","Leia Organa"
33,2026-12-27,"Padme Amidala","Rey Skywalker","Ahsoka Tano","Leia Organa","Mary","Luke Skywalker","Obi-Wan Kenobi","Finn","Han Solo"
34,2027-01-03,"Rey Skywalker","Finn","Padme Amidala","Obi-Wan Kenobi","Ahsoka Tano","Han Solo","Mary","Leia Organa","Luke Skywalker"
35,2027-01-10,"Mary","Han Solo","Leia Organa","Rey Skywalker","Obi-Wan Kenobi","Finn","Luke Skywalker","Ahsoka Tano","Padme Amidala"
36,2027-01-17,"Luke Skywalker","Ahsoka Tano","Obi-Wan Kenobi","Padme Amidala","Han Solo","Mary","Rey Skywalker","Leia Organa","Finn"
37,2027-01-24,"Ahsoka Tano","Padme Amidala","Finn","Mary","Luke Skywalker","Rey Skywalker","Han Solo","Leia Organa","Obi-Wan Kenobi"
38,2027-01-31,"Leia Organa","Obi-Wan Kenobi","Luke Skywalker","Ahsoka Tano","Mary","Padme Amidala","Finn","Han Solo","Rey Skywalker"
39,2027-02-07,"Obi-Wan Kenobi","Leia Organa","Han Solo","Finn","Rey Skywalker","Luke Skywalker","Padme Amidala","Ahsoka Tano","Mary"
40,2027-02-14,"Han Solo","Mary","Rey Skywalker","Luke Skywalker","Finn","Ahsoka Tano","Leia Organa","Obi-Wan Kenobi","Padme Amidala"
41,2027-02-21,"Finn","Luke Skywalker","Mary","Han Solo","Padme Amidala","Leia Organa","Ahsoka Tano","Rey Skywalker","Obi-Wan Kenobi"
42,2027-02-28,"Padme Amidala","Rey Skywalker","Ahsoka Tano","Leia Organa","Mary","Han Solo","Obi-Wan Kenobi","Finn","Luke Skywalker"
43,2027-03-07,"Rey Skywalker","Finn","Padme Amidala","Ahsoka Tano","Han Solo","Obi-Wan Kenobi","Mary","Luke Skywalker","Leia Organa"
44,2027-03-14,"Mary","Han Solo","Leia Organa","Obi-Wan Kenobi","Rey Skywalker","Finn","Luke Skywalker","Padme Amidala","Ahsoka Tano"
45,2027-03-21,"Luke Skywalker","Ahsoka Tano","Obi-Wan Kenobi","Padme Amidala","Leia Organa","Mary","Rey Skywalker","Finn","Han Solo"
46,2027-03-28,"Ahsoka Tano","Padme Amidala","Finn","Mary","Luke Skywalker","Rey Skywalker","Han Solo","Leia Organa","Obi-Wan Kenobi"
47,2027-04-04,"Leia Organa","Obi-Wan Kenobi","Luke Skywalker","Rey Skywalker","Ahsoka Tano","Padme Amidala","Finn","Han Solo","Mary"
48,2027-04-11,"Obi-Wan Kenobi","Leia Organa","Han Solo","Finn","Mary","Luke Skywalker","Padme Amidala","Ahsoka Tano","Rey Skywalker"
49,2027-04-18,"Han Solo","Mary","Rey Skywalker","Luke Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Leia Organa","Padme Amidala","Finn"
50,2027-04-25,"Finn","Luke Skywalker","Mary","Han Solo","Rey Skywalker","Leia Organa","Ahsoka Tano","Obi-Wan Kenobi","Padme Amidala"
51,2027-05-02,"Padme Amidala","Rey Skywalker","Ahsoka Tano","Leia Organa","Finn","Han Solo","Obi-Wan Kenobi","Mary","Luke Skywalker"
52,2027-05-09,"Rey Skywalker","Finn","Padme Amidala","Ahsoka Tano","Han Solo","Obi-Wan Kenobi","Mary","Luke Skywalker","Leia Organa"
