Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
14,2026-08-16,"Ahsoka Tano","Leia Organa","Finn","Padme Amidala","Rey Skywalker","Mary","Han Solo","Obi-Wan Kenobi","Luke Skywalker"
15,2026-08-23,"Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Han Solo","Luke Skywalker","Rey Skywalker","Leia Organa","Mary","Finn"
16,2026-08-30,"Han Solo","Obi-Wan Kenobi","Mary","Rey Skywalker","Leia Organa","Finn","Ahsoka Tano","Luke Skywalker","Padme Amidala"
17,2026-09-06,"Finn","Leia Organa","Rey Skywalker","Mary","Obi-Wan Kenobi","Han Solo","Padme Amidala","Luke Skywalker","Ahsoka Tano"
18,2026-09-13,"Padme Amidala","Obi-Wan Kenobi","Leia Organa","Han Solo","Ahsoka Tano","Luke Skywalker","Finn","Mary","Rey Skywalker"
19,2026-09-20,"Mary","Han Solo","Luke Skywalker","Finn","Rey Skywalker","Padme Amidala","Obi-Wan Kenobi","Ahsoka Tano","Leia Organa"
20,2026-09-27,"Luke Skywalker","Finn","Obi-Wan Kenobi","Padme Amidala","Ahsoka Tano","Mary","Leia Organa","Rey Skywalker","Han Solo"
21,2026-10-04,"Rey Skywalker","Padme Amidala","Ahsoka Tano","Leia Organa","Mary","Finn","Luke Skywalker","Han Solo","Obi-Wan Kenobi"
22,2026-10-11,"Leia Organa","Ahsoka Tano","Han Solo","Luke Skywalker","Obi-Wan Kenobi","Rey Skywalker","Mary","Padme Amidala","Finn"
23,2026-10-18,"Ahsoka Tano","Leia Organa","Finn","Obi-Wan Kenobi","Luke Skywalker","Han Solo","Rey Skywalker","Padme Amidala","Mary"
24,2026-10-25,"Obi-Wan Kenobi","Han Solo","Padme Amidala","Rey Skywalker","Finn","Luke Skywalker","Ahsoka Tano","Mary","Leia Organa"
25,2026-11-01,"Han Solo","Obi-Wan Kenobi","Mary","Ahsoka Tano","Leia Organa","Padme Amidala","Finn","Rey Skywalker","Luke Skywalker"
26,2026-11-08,"Finn","Padme Amidala","Rey Skywalker","Luke Skywalker","Obi-Wan Kenobi","Mary","Han Solo","Leia Organa","Ahsoka Tano"
27,2026-11-15,"Padme Amidala","Finn","Leia Organa","Mary","Luke Skywalker","Rey Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Han Solo"
28,2026-11-22,"Mary","Ahsoka Tano","Luke Skywalker","Han Solo","Leia Organa","Finn","Padme Amidala","Obi-Wan Kenobi","Rey Skywalker"
29,2026-11-29,"Luke Skywalker","Leia Organa","Obi-Wan Kenobi","Finn","Rey Skywalker","Han Solo","Ahsoka Tano","Mary","Padme Amidala"
30,2026-12-06,"Rey Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Han Solo","Luke Skywalker","Leia Organa","Mary","Finn"
31,2026-12-13,"Leia Organa","Mary","Han Solo","Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Luke Skywalker","Finn","Rey Skywalker"
32,2026-12-20,"Ahsoka Tano","Luke Skywalker","Finn","Leia Organa","Han Solo","Mary","Rey Skywalker","Padme Amidala","Obi-Wan Kenobi"
33,2026-12-27,"Obi-Wan Kenobi","Han Solo","Padme Amidala","Ahsoka Tano","Finn","Rey Skywalker","Mary","Leia Organa","Luke Skywalker"
34,2027-01-03,"Han Solo","Rey Skywalker","Mary","Luke Skywalker","Obi-Wan Kenobi","Leia Organa","Finn","Ahsoka Tano","Padme Amidala"
35,2027-01-10,"Finn","Padme Amidala","Rey Skywalker","Mary","Luke Skywalker","Ahsoka Tano","Han Solo","Obi-Wan Kenobi","Leia Organa"
36,2027-01-17,"Padme Amidala","Finn","Leia Organa","Rey Skywalker","Han Solo","Obi-Wan Kenobi","Ahsoka Tano","Luke Skywalker","Mary"
37,2027-01-24,"Mary","Ahsoka Tano","Luke Skywalker","Han Solo","Padme Amidala","Finn","Obi-Wan Kenobi","Leia Organa","Rey Skywalker"
38,2027-01-31,"Luke Skywalker","Leia Organa","Obi-Wan Kenobi","Finn","Mary","Han Solo","Padme Amidala","Rey Skywalker","Ahsoka Tano"
39,2027-02-07,"Rey Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Finn","Luke Skywalker","Leia Organa","Mary","Han Solo"
40,2027-02-14,"Leia Organa","Mary","Han Solo","Obi-Wan Kenobi","Rey Skywalker","Padme Amidala","Luke Skywalker","Ahsoka Tano","Finn"
41,2027-02-21,"Ahsoka Tano","Luke Skywalker","Finn","Leia Organa","Han Solo","Mary","Rey Skywalker","Padme Amidala","Obi-Wan Kenobi"
42,2027-02-28,"Obi-Wan Kenobi","Han Solo","Padme Amidala","Ahsoka Tano","Leia Organa","Rey Skywalker","Mary","Finn","Luke Skywalker"
43,2027-03-07,"Han Solo","Rey Skywalker","Mary","Luke Skywalker","Ahsoka Tano","Leia Organa","Finn","Obi-Wan Kenobi","Padme Amidala"
44,2027-03-14,"Finn","Padme Amidala","Rey Skywalker","Mary","Obi-Wan Kenobi","Ahsoka Tano","Han Solo","Luke Skywalker","Leia Organa"
45,2027-03-21,"Padme Amidala","Finn","Leia Organa","Rey Skywalker","Luke Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Han Solo","Mary"
46,2027-03-28,"Mary","Ahsoka Tano","Luke Skywalker","Han Solo","Padme Amidala","Finn","Obi-Wan Kenobi","Leia Organa","Rey Skywalker"
47,2027-04-04,"Luke Skywalker","Leia Organa","Obi-Wan Kenobi","Finn","Mary","Han Solo","Padme Amidala","Rey Skywalker","Ahsoka Tano"
48,2027-04-11,"Rey Skywalker","Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala","Finn","Luke Skywalker","Leia Organa","Mary","Han Solo"
49,2027-04-18,"Leia Organa","Mary","Han Solo","Obi-Wan Kenobi","Rey Skywalker","Padme Amidala","Luke Skywalker","Ahsoka Tano","Finn"
50,2027-04-25,"Ahsoka Tano","Luke Skywalker","Finn","Leia Organa","Han Solo","Mary","Rey Skywalker","Padme Amidala","Obi-Wan Kenobi"
51,2027-05-02,"Obi-Wan Kenobi","Han Solo","Padme Amidala","Ahsoka Tano","Leia Organa","Rey Skywalker","Mary","Finn","Luke Skywalker"
52,2027-05-09,"Han Solo","Rey Skywalker","Mary","Luke Skywalker","Ahsoka Tano","Leia Organa","Finn","Obi-Wan Kenobi","Padme Amidala"
