Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
21,2026-10-04,"Cassian Andor","Lando Calrissian","Mary","Rey Skywalker","Finn","Padme Amidala","Han Solo","Ahsoka Tano","Poe Dameron"
22,2026-10-11,"Jyn Erso","Han Solo","Luke Skywalker","Cassian Andor","Lando Calrissian","Poe Dameron","Finn","Obi-Wan Kenobi","Padme Amidala"
23,2026-10-18,"Luke Skywalker","Finn","Rey Skywalker","Mary","Poe Dameron","Lando Calrissian","Padme Amidala","Han Solo","Cassian Andor"
24,2026-10-25,"Rey Skywalker","Padme Amidala","Poe Dameron","Leia Organa","Cassian Andor","Luke Skywalker","Mace Windu","Anakin Skywalker","Lando Calrissian"
25,2026-11-01,"Obi-Wan Kenobi","Cassian Andor","Lando Calrissian","Luke Skywalker","Jyn Erso","Rey Skywalker","Anakin Skywalker","Padme Amidala","Leia Organa"
26,2026-11-08,"Mace Windu","Ahsoka Tano","Jyn Erso","Obi-Wan Kenobi","Leia Organa","Cassian Andor","Lando Calrissian","Poe Dameron","Anakin Skywalker"
27,2026-11-15,"Ahsoka Tano","Mace Windu","Leia Organa","Jyn Erso","Obi-Wan Kenobi","Mary","Cassian Andor","Finn","Luke Skywalker"
28,2026-11-22,"Anakin Skywalker","Leia Organa","Ahsoka Tano","Mace Windu","Mary","Jyn Erso","Poe Dameron","Cassian Andor","Obi-Wan Kenobi"
29,2026-11-29,"Leia Organa","Anakin Skywalker","Obi-Wan Kenobi","Han Solo","Mace Windu","Ahsoka Tano","Mary","Lando Calrissian","Jyn Erso"
30,2026-12-06,"Han Solo","Obi-Wan Kenobi","Mace Windu","Ahsoka Tano","Anakin Skywalker","Leia Organa","Luke Skywalker","Jyn Erso","Mary"
31,2026-12-13,"Finn","Mary","Anakin Skywalker","Padme Amidala","Ahsoka Tano","Obi-Wan Kenobi","Jyn Erso","Leia Organa","Mace Windu"
32,2026-12-20,"Padme Amidala","Luke Skywalker","Han Solo","Anakin Skywalker","Finn","Mace Windu","Rey Skywalker","Mary","Ahsoka Tano"
33,2026-12-27,"Poe Dameron","Rey Skywalker","Finn","Lando Calrissian","Luke Skywalker","Anakin Skywalker","Ahsoka Tano","Mace Windu","Han Solo"
34,2027-01-03,"Lando Calrissian","Jyn Erso","Padme Amidala","Finn","Rey Skywalker","Han Solo","Leia Organa","Luke Skywalker","Poe Dameron"
35,2027-01-10,"Mary","Poe Dameron","Cassian Andor","Rey Skywalker","Han Solo","Finn","Obi-Wan Kenobi","Ahsoka Tano","Padme Amidala"
36,2027-01-17,"Cassian Andor","Lando Calrissian","Mary","Poe Dameron","Jyn Erso","Padme Amidala","Han Solo","Obi-Wan Kenobi","Rey Skywalker"
37,2027-01-24,"Jyn Erso","Han Solo","Luke Skywalker","Cassian Andor","Padme Amidala","Poe Dameron","Finn","Rey Skywalker","Lando Calrissian"
38,2027-01-31,"Luke Skywalker","Finn","Rey Skywalker","Mary","Poe Dameron","Lando Calrissian","Padme Amidala","Han Solo","Cassian Andor"
39,2027-02-07,"Rey Skywalker","Padme Amidala","Poe Dameron","Leia Organa","Lando Calrissian","Luke Skywalker","Mace Windu","Cassian Andor","Finn"
40,2027-02-14,"Obi-Wan Kenobi","Cassian Andor","Lando Calrissian","Luke Skywalker","Leia Organa","Rey Skywalker","Anakin Skywalker","Padme Amidala","Jyn Erso"
41,2027-02-21,"Mace Windu","Ahsoka Tano","Jyn Erso","Obi-Wan Kenobi","Mary","Cassian Andor","Lando Calrissian","Poe Dameron","Anakin Skywalker"
42,2027-02-28,"Ahsoka Tano","Mace Windu","Leia Organa","Jyn Erso","Finn","Mary","Cassian Andor","Lando Calrissian","Luke Skywalker"
43,2027-03-07,"Anakin Skywalker","Leia Organa","Ahsoka Tano","Mace Windu","Cassian Andor","Jyn Erso","Poe Dameron","Rey Skywalker","Han Solo"
44,2027-03-14,"Leia Organa","Anakin Skywalker","Obi-Wan Kenobi","Han Solo","Mace Windu","Ahsoka Tano","Mary","Jyn Erso","Padme Amidala"
45,2027-03-21,"Han Solo","Obi-Wan Kenobi","Mace Windu","Ahsoka Tano","Cassian Andor","Leia Organa","Luke Skywalker","Anakin Skywalker","Mary"
46,2027-03-28,"Finn","Mary","Anakin Skywalker","Padme Amidala","Ahsoka Tano","Obi-Wan Kenobi","Jyn Erso","Mace Windu","Leia Organa"
47,2027-04-04,"Padme Amidala","Luke Skywalker","Han Solo","Anakin Skywalker","Obi-Wan Kenobi","Mace Windu","Rey Skywalker","Finn","Poe Dameron"
48,2027-04-11,"Poe Dameron","Rey Skywalker","Finn","Lando Calrissian","Luke Skywalker","Anakin Skywalker","Ahsoka Tano","Han Solo","Cassian Andor"
49,2027-04-18,"Lando Calrissian","Jyn Erso","Padme Amidala","Finn","Rey Skywalker","Han Solo","Leia Organa","Mary","Obi-Wan Kenobi"
50,2027-04-25,"Mary","Poe Dameron","Cassian Andor","Rey Skywalker","Jyn Erso","Finn","Obi-Wan Kenobi","Padme Amidala","Lando Calrissian"
51,2027-05-02,"Cassian Andor","Lando Calrissian","Mary","Poe Dameron","Anakin Skywalker","Padme Amidala","Han Solo","Leia Organa","Mace Windu"
52,2027-05-09,"Jyn Erso","Han Solo","Luke Skywalker","Cassian Andor","Padme Amidala","Poe Dameron","Finn","Lando Calrissian","Ahsoka Tano"
