Week,Date,Toastmaster,General Evaluator,Table Topics Master,Grammarian,Timer,Speaker,Evaluator,Ah Counter,Word of the Day Master
17,2026-09-06,"Ahsoka Tano","Leia Organa","Poe Dameron","Han Solo","Obi-Wan Kenobi","Padme Amidala","Cassian Andor","Mace Windu","Rey Skywalker"
18,2026-09-13,"Anakin Skywalker","Mace Windu","Lando Calrissian","Padme Amidala","Ahsoka Tano","Cassian Andor","Leia Organa","Obi-Wan Kenobi","Jyn Erso"
19,2026-09-20,"Leia Organa","Obi-Wan Kenobi","Jyn Erso","Cassian Andor","Anakin Skywalker","Poe Dameron","Ahsoka Tano","Padme Amidala","Lando Calrissian"
20,2026-09-27,"Han Solo","Anakin Skywalker","Cassian Andor","Jyn Erso","Luke Skywalker","Lando Calrissian","Obi-Wan Kenobi","Poe Dameron","Leia Organa"
21,2026-10-04,"Finn","Han Solo","Leia Organa","Lando Calrissian","Mary","Jyn Erso","Mace Windu","Rey Skywalker","Cassian Andor"
22,2026-10-11,"Padme Amidala","Finn","Ahsoka Tano","Poe Dameron","Lando Calrissian","Mary","Anakin Skywalker","Luke Skywalker","Obi-Wan Kenobi"
23,2026-10-18,"Lando Calrissian","Padme Amidala","Obi-Wan Kenobi","Leia Organa","Rey Skywalker","Luke Skywalker","Poe Dameron","Mary","Ahsoka Tano"
24,2026-10-25,"Poe Dameron","Cassian Andor","Mace Windu","Ahsoka Tano","Han Solo","Rey Skywalker","Lando Calrissian","Finn","Anakin Skywalker"
25,2026-11-01,"Cassian Andor","Ahsoka Tano","Anakin Skywalker","Obi-Wan Kenobi","Poe Dameron","Finn","Mary","Han Solo","Mace Windu"
26,2026-11-08,"Rey Skywalker","Leia Organa","Mary","Mace Windu","Jyn Erso","Han Solo","Luke Skywalker","Cassian Andor","Finn"
27,2026-11-15,"Mary","Mace Windu","Luke Skywalker","Anakin Skywalker","Finn","Padme Amidala","Rey Skywalker","Lando Calrissian","Han Solo"
28,2026-11-22,"Luke Skywalker","Obi-Wan Kenobi","Rey Skywalker","Mary","Leia Organa","Cassian Andor","Han Solo","Jyn Erso","Padme Amidala"
29,2026-11-29,"Jyn Erso","Anakin Skywalker","Han Solo","Rey Skywalker","Cassian Andor","Poe Dameron","Finn","Padme Amidala","Mary"
30,2026-12-06,"Mace Windu","Han Solo","Finn","Luke Skywalker","Obi-Wan Kenobi","Lando Calrissian","Padme Amidala","Leia Organa","Poe Dameron"
31,2026-12-13,"Obi-Wan Kenobi","Finn","Padme Amidala","Han Solo","Mace Windu","Mary","Jyn Erso","Ahsoka Tano","Luke Skywalker"
32,2026-12-20,"Ahsoka Tano","Padme Amidala","Poe Dameron","Finn","Anakin Skywalker","Jyn Erso","Cassian Andor","Mace Windu","Rey Skywalker"
33,2026-12-27,"Anakin Skywalker","Cassian Andor","Lando Calrissian","Padme Amidala","Ahsoka Tano","Luke Skywalker","Leia Organa","Obi-Wan Kenobi","Jyn Erso"
34,2027-01-03,"Han Solo","Leia Organa","Jyn Erso","Cassian Andor","Padme Amidala","Rey Skywalker","Ahsoka Tano","Anakin Skywalker","Lando Calrissian"
35,2027-01-10,"Leia Organa","Ahsoka Tano","Cassian Andor","Jyn Erso","Luke Skywalker","Mace Windu","Obi-Wan Kenobi","Poe Dameron","Anakin Skywalker"
36,2027-01-17,"Finn","Obi-Wan Kenobi","Leia Organa","Lando Calrissian","Mary","Ahsoka Tano","Mace Windu","Rey Skywalker","Cassian Andor"
37,2027-01-24,"Padme Amidala","Mace Windu","Ahsoka Tano","Poe Dameron","Lando Calrissian","Leia Organa","Anakin Skywalker","Luke Skywalker","Obi-Wan Kenobi"
38,2027-01-31,"Lando Calrissian","Anakin Skywalker","Obi-Wan Kenobi","Leia Organa","Rey Skywalker","Finn","Poe Dameron","Mary","Ahsoka Tano"
39,2027-02-07,"Poe Dameron","Mary","Mace Windu","Ahsoka Tano","Han Solo","Obi-Wan Kenobi","Lando Calrissian","Finn","Leia Organa"
40,2027-02-14,"Cassian Andor","Luke Skywalker","Anakin Skywalker","Obi-Wan Kenobi","Poe Dameron","Han Solo","Mary","Lando Calrissian","Mace Windu"
41,2027-02-21,"Jyn Erso","Rey Skywalker","Mary","Mace Windu","Leia Organa","Anakin Skywalker","Luke Skywalker","Han Solo","Finn"
42,2027-02-28,"Mary","Poe Dameron","Luke Skywalker","Anakin Skywalker","Jyn Erso","Padme Amidala","Rey Skywalker","Cassian Andor","Han Solo"
43,2027-03-07,"Luke Skywalker","Lando Calrissian","Rey Skywalker","Mary","Finn","Cassian Andor","Han Solo","Jyn Erso","Padme Amidala"
44,2027-03-14,"Rey Skywalker","Jyn Erso","Han Solo","Luke Skywalker","Cassian Andor","Poe Dameron","Finn","Padme Amidala","Mary"
45,2027-03-21,"Mace Windu","Han Solo","Finn","Rey Skywalker","Obi-Wan Kenobi","Lando Calrissian","Padme Amidala","Leia Organa","Poe Dameron"
46,2027-03-28,"Obi-Wan Kenobi","Finn","Padme Amidala","Han Solo","Mace Windu","Mary","Jyn Erso","Ahsoka Tano","Luke Skywalker"
47,2027-04-04,"Ahsoka Tano","Padme Amidala","Poe Dameron","Finn","Anakin Skywalker","Jyn Erso","Cassian Andor","Mace Windu","Rey Skywalker"
48,2027-04-11,"Anakin Skywalker","Cassian Andor","Lando Calrissian","Padme Amidala","Ahsoka Tano","Luke Skywalker","Leia Organa","Obi-Wan Kenobi","Jyn Erso"
49,2027-04-18,"Han Solo","Leia Organa","Jyn Erso","Cassian Andor","Padme Amidala","Rey Skywalker","Ahsoka Tano","Anakin Skywalker","Lando Calrissian"
50,2027-04-25,"Leia Organa","Ahsoka Tano","Cassian Andor","Jyn Erso","Luke Skywalker","Mace Windu","Obi-Wan Kenobi","Poe Dameron","Anakin Skywalker"
51,2027-05-02,"Finn","Obi-Wan Kenobi","Leia Organa","Lando Calrissian","Mary","Ahsoka Tano","Mace Windu","Rey Skywalker","Cassian Andor"
52,2027-05-09,"Padme Amidala","Mace Windu","Ahsoka Tano","Poe Dameron","Lando Calrissian","Leia Organa","Anakin Skywalker","Luke Skywalker","Obi-Wan Kenobi"
